x	qxH	qxM	qxiH	qxiM
0	0.000485000000	0.000272000000	0.014786174100	0.009111850800
1	0.000485000000	0.000272000000	0.014803387464	0.009119898353
2	0.000485000000	0.000272000000	0.014821856239	0.009128578374
3	0.000485000000	0.000272000000	0.014841672393	0.009137940597
4	0.000485000000	0.000272000000	0.014862933896	0.009148038531
5	0.000485000000	0.000272000000	0.014885746138	0.009158930142
6	0.000485000000	0.000272000000	0.014910222280	0.009170677424
7	0.000485000000	0.000272000000	0.014936483615	0.009183348168
8	0.000485000000	0.000272000000	0.014964660295	0.009197014508
9	0.000485000000	0.000272000000	0.014994891987	0.009211754631
10	0.000485000000	0.000272000000	0.015027328349	0.009227653265
11	0.000485000000	0.000272000000	0.015062130239	0.009244801104
12	0.000485000000	0.000272000000	0.015099470067	0.009263296519
13	0.000485000000	0.000272000000	0.015139532766	0.009283245132
14	0.000485000000	0.000272000000	0.015182516713	0.009304761284
15	0.000485000000	0.000272000000	0.015228634848	0.009327967992
16	0.000496240677	0.000278075637	0.015278115495	0.009352998049
17	0.000509499819	0.000285156836	0.015331203759	0.009379994847
18	0.000522778941	0.000293244859	0.015388162120	0.009409112653
19	0.000538082622	0.000302341041	0.015449272925	0.009440518211
20	0.000554413199	0.000311445367	0.015514838266	0.009474390882
21	0.000572776753	0.000321559836	0.015585182562	0.009510924733
22	0.000593178746	0.000332685999	0.015660653993	0.009550328553
23	0.000614620743	0.000344825512	0.015741625474	0.009592827476
24	0.000639116331	0.000357980150	0.015828497580	0.009638665091
25	0.000665669168	0.000373154914	0.015921699709	0.009688102663
26	0.000694286525	0.000389349876	0.016021692217	0.009741423525
27	0.000725983148	0.000406567317	0.016128969369	0.009798931862
28	0.000760770444	0.000426818246	0.016244060736	0.009860956613
29	0.000798660831	0.000448099345	0.016367534592	0.009927851973
30	0.000839667847	0.000471418850	0.016500000229	0.010000000214
31	0.000885826374	0.000496781979	0.016642111327	0.010077813228
32	0.000936148789	0.000525200572	0.016794568522	0.010161735311
